Source,Target
Karl Otto Pöhl,the Board of Governors
Karl Otto Pöhl,Federal Reserve
Jacques Delors,
Jacques de Larosière,the Board of this federal system
Jacques de Larosière,Governors
Jacques de Larosière,the European Council
Jacques de Larosière,Governors
Jacques Delors,Governors
Jacques de Larosière,Board
Jacques de Larosière,Council
Jacques Delors,the Council of Ministers
Jacques Delors,the European Council
Jacques de Larosière,European Council
Jacques Delors,
Jacques de Larosière,
Jacques Delors,a Council of Ministers of Finance
Jacques Delors,The European Council
Jacques Delors,the European Council
Jacques Delors,Ministers of Finance
Jacques Delors,the European Parliament
Jacques de Larosière,
Jacques Delors,the European Parliament
Jacques Delors,Parliament
Jacques Delors,Ministers of Finance
Jacques Delors,the European Council
Jacques de Larosière,
Karl Otto Pöhl,the Board of the Bundesbank
Karl Otto Pöhl,the Central Bank Council
Karl Otto Pöhl,Cabinet
Karl Otto Pöhl,Cabinet
Karl Otto Pöhl,Council
Karl Otto Pöhl,the Council of Ministers
Karl Otto Pöhl,Board
Karl Otto Pöhl,Bundesbank
Karl Otto Pöhl,Council
Karl Otto Pöhl,Council
Karl Otto Pöhl,Council
Karl Otto Pöhl,Council
Karl Otto Pöhl,Council
Jacques de Larosière,
Jacques de Larosière,Ministers
Jacques Delors,the European Council
Jacques Delors,Community
Jacques Delors,Community
Jacques de Larosière,
Pierre Jaans,EMU
Pierre Jaans,EMS
Pierre Jaans,Basle/Nyborg
Pierre Jaans,Basle/Nyborg
Pierre Jaans,Committee
Pierre Jaans,Parliament
Pierre Jaans,Community
Pierre Jaans,State
Alexandre Lamfalussy,the Committee of Governors
Alexandre Lamfalussy,Governors
Alexandre Lamfalussy,the Committee of Governors
Alexandre Lamfalussy,Governors
Alexandre Lamfalussy,State
Alexandre Lamfalussy,Governors
Alexandre Lamfalussy,Directive
Alexandre Lamfalussy,Directive
Alexandre Lamfalussy,EMS
Karl Otto Pöhl,the British Government
Karl Otto Pöhl,the German Government
Karl Otto Pöhl,The German Government
Karl Otto Pöhl,EMS
Karl Otto Pöhl,EMS
Karl Otto Pöhl,EMS
Karl Otto Pöhl,EMS
Karl Otto Pöhl,ERM
Karl Otto Pöhl,the Reserve Fund
Jacques Delors,Committee
Jacques Delors,the European Council
Jacques Delors,Rapporteurs
Jacques Delors,EMU
Jacques Delors,State
Jacques Delors,the Monetary Committee
Jacques Delors,the Committee of Governors
Jacques Delors,the Ministers of Finance
Jacques Delors,EMS
Karl Otto Pöhl,EMU
Karl Otto Pöhl,EEC
Karl Otto Pöhl,EMU
Karl Otto Pöhl,ERM
Karl Otto Pöhl,EEC
Jacques de Larosière,
Karl Otto Pöhl,ECU
Karl Otto Pöhl,ECU
Karl Otto Pöhl,ECU
Karl Otto Pöhl,Committee
Karl Otto Pöhl,ECU
Karl Otto Pöhl,ECU
Karl Otto Pöhl,Community
Karl Otto Pöhl,ECU
Karl Otto Pöhl,ECU
Karl Otto Pöhl,ECU
Karl Otto Pöhl,Committee
Karl Otto Pöhl,ECU
Karl Otto Pöhl,ECU
Karl Otto Pöhl,ECU
Karl Otto Pöhl,ECU
Karl Otto Pöhl,ECU
Karl Otto Pöhl,ECU
Karl Otto Pöhl,ECU
Karl Otto Pöhl,ECU
Karl Otto Pöhl,ECU
Karl Otto Pöhl,ECU
Karl Otto Pöhl,ECU
Karl Otto Pöhl,ECU
Karl Otto Pöhl,ECU
Karl Otto Pöhl,DM
Karl Otto Pöhl,Rapporteurs
Karl Otto Pöhl,Annex
Karl Otto Pöhl,Committee
Karl Otto Pöhl,Annex
Karl Otto Pöhl,Committee
Pierre Jaans,ECU
Pierre Jaans,EMS
Pierre Jaans,Committee
Pierre Jaans,ECU
Pierre Jaans,the Giscard/Schmidt Committee
Karl Otto Pöhl,EMS
Karl Otto Pöhl,ECU
Karl Otto Pöhl,ECU
Karl Otto Pöhl,ECU
Karl Otto Pöhl,ECU
Karl Otto Pöhl,Committee
Karl Otto Pöhl,ECU
Karl Otto Pöhl,Committee
Karl Otto Pöhl,Annex
Karl Otto Pöhl,Committee
Karl Otto Pöhl,ECU
Karl Otto Pöhl,ECU
Karl Otto Pöhl,ECU
Karl Otto Pöhl,ECU
Karl Otto Pöhl,ECU
Karl Otto Pöhl,ECU
Karl Otto Pöhl,EEC
Karl Otto Pöhl,EEC
Karl Otto Pöhl,ERM
Karl Otto Pöhl,Council
Karl Otto Pöhl,ECU
Karl Otto Pöhl,EEC
Karl Otto Pöhl,ECU
Karl Otto Pöhl,ECU
Karl Otto Pöhl,ECU
Karl Otto Pöhl,ECU
Karl Otto Pöhl,ECU
Karl Otto Pöhl,ECU
Karl Otto Pöhl,Council
Karl Otto Pöhl,ECU
Karl Otto Pöhl,ECU
Karl Otto Pöhl,ECU
Jacques Delors,Council of Finance
Karl Otto Pöhl,EMS
Jacques Delors,ECU
Jacques Delors,the European Monetary System
Jacques Delors,the European Monetary System
Jacques Delors,Baer
Jacques Delors,BIS
Jacques de Larosière,
Jacques Delors,Committee
Wim Duisenberg,
Jacques Delors,
?,
Jacques Delors,
Maurice F. Doyle,
Jacques Delors,Committee
Robin Leigh-Pemberton,Community
